Year;TSU;EQ;Name;Location;Country;Continent;Latitude;Longitude;Elevation;Type;Status;Time;VEI;Agent;DEATHS;MISSING;INJURIES;DAMAGE_MILLIONS_DOLLARS;HOUSES_DESTROYED;TOTAL_LIFE_COST;TOTAL_COST
2010;0;0;Tungurahua;Ecuador;Ecuador;Amerique latine;-1.467;-78.442;5023;Stratovolcano;Historical;D1;3;0;0;0;0;0;0;0;0
2010;0;0;Eyjafjallajokull;Iceland-S;Iceland;Europe;63.63;-19.62;1666;Stratovolcano;Historical;D1;2;0;2;0;0;0;0;4.14;4.14
2010;0;0;Pacaya;Guatemala;Guatemala;Amerique latine;14.381;-90.601;2552;Complex volcano;Historical;D1;1;T;1;3;0;0;3;2.31;2.31
2010;TSU;EQ;Sarigan;Mariana Is-C Pacific;United States;Amerique du Nord;16.708;145.78;538;Stratovolcano;Holocene;U;0;0;0;0;0;0;0;0;0
2010;0;0;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;Asie du Sud;2.78;125.48;1784;Stratovolcano;Historical;D1;3;0;4;0;5;0;0;8.28;8.28
2010;0;0;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;0;0;2;0;0;0;0;4.14;4.14
2010;0;0;Merapi;Java;Indonesia;Asie du Sud;-7.542;110.442;2947;Stratovolcano;Historical;D1;0;0;367;0;277;600;0;759.69;1359.69
2010;0;0;Tungurahua;Ecuador;Ecuador;Amerique latine;-1.467;-78.442;5023;Stratovolcano;Historical;D1;3;0;0;0;0;0;0;0;0
2010;0;0;Tengger Caldera;Java;Indonesia;Asie du Sud;-7.942;112.95;2329;Stratovolcano;Historical;D1;0;0;0;0;0;0;0;0;0
2011;0;0;Merapi;Java;Indonesia;Asie du Sud;-7.542;110.442;2947;Stratovolcano;Historical;D1;0;M;1;0;1;0;0;2.07;2.07
2011;0;0;Kirishima;Kyushu-Japan;Japan;Asie de l'Est;31.93;130.87;1700;Shield volcano;Historical;D1;0;0;0;0;0;0;0;0;0
2011;0;0;Bulusan;Luzon-Philippines;Philippines;Asie du Sud;12.77;124.05;1565;Stratovolcano;Historical;D1;2;0;1;0;0;0;0;2.07;2.07
2011;0;0;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;Asie du Sud;2.78;125.48;1784;Stratovolcano;Historical;D1;0;0;0;0;0;0;0;0;0
2011;0;0;Tungurahua;Ecuador;Ecuador;Amerique latine;-1.467;-78.442;5023;Stratovolcano;Historical;D1;4;0;0;0;0;0;0;0;0
2011;0;0;Puyehue;Chile-C;Chile;Amerique latine;-40.59;-72.117;2236;Stratovolcano;Holocene;U;4;0;0;0;0;0;0;0;0
2011;0;0;Nabro;Africa-NE;Eritrea;Afrique subsaharienne;13.37;41.7;2218;Stratovolcano;Holocene;Unknown;3;0;31;0;0;0;0;12.09;12.09
2011;0;0;Katla;Iceland-S;Iceland;Europe;63.63;-19.05;1512;Subglacial volcano;Historical;D2;0;0;0;0;0;0;0;0;0
2011;0;0;Lokon-Empung;Sulawesi-Indonesia;Indonesia;Asie du Sud;1.358;124.792;1580;Stratovolcano;Historical;D1;0;0;1;0;0;0;0;2.07;2.07
2011;0;0;Gamalama;Halmahera-Indonesia;Indonesia;Asie du Sud;.8;127.325;1715;Stratovolcano;Historical;D1;3;m;4;0;0;0;0;8.28;8.28
2012;0;0;Kilauea;Hawaiian Is;United States;Amerique du Nord;19.425;-155.292;1222;Shield volcano;Historical;D1;0;0;0;0;0;0;0;0;0
2012;0;0;Kilauea;Hawaiian Is;United States;Amerique du Nord;19.425;-155.292;1222;Shield volcano;Historical;D1;0;L;0;0;0;0;1;0;0
2012;0;0;Tolbachik;Kamchatka;Russia;Europe;55.83;160.33;3682;Shield volcano;Historical;D1;0;0;0;0;0;0;0;0;0
2013;0;0;Merapi;Java;Indonesia;Asie du Sud;-7.542;110.442;2947;Stratovolcano;Historical;D1;0;M;1;0;1;0;0;2.07;2.07
