Year;TSU;EQ;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;Time;VEI;Agent;DEATHS;MISSING;INJURIES;DAMAGE_MILLIONS_DOLLARS;HOUSES_DESTROYED
2017;;;Sinabung;Sumatra;Indonesia;3.17;98.392;2460;Stratovolcano;Holocene;U;;T;;;;;
2018;;;Kadovar;New Guinea-NE of;Papua New Guinea;-3.62;144.62;365;Stratovolcano;Holocene;U;;T;;;;;
2018;;;Mayon;Luzon-Philippines;Philippines;13.257;123.685;2462;Stratovolcano;Historical;D1;;T,P;;;1972;3.72;
2018;;;Kusatsu-Shirane;Honshu-Japan;Japan;36.62;138.55;2176;Stratovolcano;Historical;D1;;T;1;;11;;
2018;;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;1;G;1;;3;;
2018;TSU;;Kadovar;New Guinea-NE of;Papua New Guinea;-3.62;144.62;365;Stratovolcano;Holocene;U;;W;;;;;
2018;;;Ijen;Java;Indonesia;-8.058;114.242;2799;Stratovolcano;Historical;D1;;G;;;30;;
2018;;;Kilauea;Hawaiian Is;United States;19.425;-155.292;1222;Shield volcano;Historical;D1;1;L;;;;;2
2018;;;Aoba;Vanuatu-SW Pacific;Vanuatu;-15.4;167.83;1496;Shield volcano;Historical;D1;3;T,G;4;;;;
;;;;;Indonesia;;;2228,84210526316;;;;2,64285714285714;;20,5769230769231;44;134,611111111111;350;866,6
