Year;TSU;EQ;Name;Location;Country;Continent;Latitude;Longitude;Elevation;Type;Status;Time;VEI;Agent;DEATHS;MISSING;INJURIES;DAMAGE_MILLIONS_DOLLARS;HOUSES_DESTROYED;COEF_LIFE_COST;TOTAL_LIFE_COST;TOTAL_COST
2010;;;Tungurahua;Ecuador;Ecuador;Amerique latine;-1.467;-78.442;5023;Stratovolcano;Historical;D1;3;;0;0;0;0;0;0.77;0;0
2010;;;Eyjafjallajokull;Iceland-S;Iceland;Europe;63.63;-19.62;1666;Stratovolcano;Historical;D1;2;;2;0;0;0;0;0.69;4.14;4.14
2010;;;Pacaya;Guatemala;Guatemala;Amerique latine;14.381;-90.601;2552;Complex volcano;Historical;D1;1;T;1;3;0;0;3;0.77;2.31;2.31
2010;TSU;EQ;Sarigan;Mariana Is-C Pacific;United States;Amerique du Nord;16.708;145.78;538;Stratovolcano;Holocene;U;;;0;0;0;0;0;5.57;0;0
2010;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;Asie du Sud;2.78;125.48;1784;Stratovolcano;Historical;D1;3;;4;0;5;0;0;0.69;8.28;8.28
2010;;;Sinabung;Sumatra;Indonesia;Asie du Sud;3.17;98.392;2460;Stratovolcano;Holocene;U;;;2;0;0;0;0;0.69;4.14;4.14
2010;;;Merapi;Java;Indonesia;Asie du Sud;-7.542;110.442;2947;Stratovolcano;Historical;D1;;;367;0;277;600;0;0.69;759.69;1359.69
2010;;;Tungurahua;Ecuador;Ecuador;Amerique latine;-1.467;-78.442;5023;Stratovolcano;Historical;D1;3;;0;0;0;0;0;0.77;0;0
2010;;;Tengger Caldera;Java;Indonesia;Asie du Sud;-7.942;112.95;2329;Stratovolcano;Historical;D1;;;0;0;0;0;0;0.69;0;0
2011;;;Merapi;Java;Indonesia;Asie du Sud;-7.542;110.442;2947;Stratovolcano;Historical;D1;;M;1;0;1;0;0;0.69;2.07;2.07
2011;;;Kirishima;Kyushu-Japan;Japan;Asie de l'Est;31.93;130.87;1700;Shield volcano;Historical;D1;;;0;0;0;0;0;0.69;0;0
2011;;;Bulusan;Luzon-Philippines;Philippines;Asie du Sud;12.77;124.05;1565;Stratovolcano;Historical;D1;2;;1;0;0;0;0;0.69;2.07;2.07
2011;;;Karangetang [Api Siau];Sangihe Is-Indonesia;Indonesia;Asie du Sud;2.78;125.48;1784;Stratovolcano;Historical;D1;;;0;0;0;0;0;0.69;0;0
